Question Number,Title,time (seconds),Text response?,Answer option list or regex (case insensitive),"If MCQ, which zero-indexed answer choice is correct?",question text (may be multi lined),Solution
1,Warmup,60,Yes,60,,Let's start with a warmup question: convert this hexadecimal value into decimal: 0x3c,
2,Floating comparisons,40,No,"- No, No
- No, Yes
- Yes, No
- Yes, Yes",2,"Assuming all values are 32-bit floating point values,

1. Is +inf *always* equal to +inf?
2. Is +NaN *always* equal to +NaN?

Hint: when doing floating point equality, the underlying bits are compared for equality.",
3,"My poor, poor model",40,Yes,ISA,,"What is the (in uppercase) 3 letter acronym for the model that specifies a specific bytecode's instruction set, registers, data types, memory architecture, etc?",
4,Registers,30,No,"- rax, rdi, rsi , rsp, rbp
- rsp, rsi, rdi, rax, rbp
- rsp, rdi, rsi, rax, rbp
- rbp, rdi, rsi, rax, rsp",2,"In x86 conventions, the stack pointer is in register %___, the first argument is in %___, the 2nd argument is in %___, the return value is in %___, and the base pointer is in %___.",
5,Many arguments,40,No,"- Having more than 6 arguments is not allowed
- malloc space for the arguments, and pass this in the rbp register
- Use the arg syscall in order to pass additional arguments
- Push them on the stack, pushing the earlier arguments first (e.g. push arg7; push arg8; callq)
- Push them on the stack, pushing the earlier arguments last (e.g. push arg8; push arg7; callq)",4,"In x86_64, after the 6th argument to a function, how are the rest of a function's arguments passed into the function?",
6,Expand my stack,30,No,"- Add to rsp
- Subtract from rsp
- Call the malloc function
- Just save data to whatever memory address we want and let the operating system figure it out",1,"In order to allocate more space on the stack, we:",
7,No Miss (Rate),60,No,"- 5/10
- 3/10
- 2/10 
- 6/10",1,"Assume our device has a direct mapped cache consisting of a single 64 byte block that is initially empty. Suppose we are running  a program that accesses the following memory addresses in order:

0x00000000
0x00000004
0x00000008
0x00000010
0x0000100C
0x00001008
0x00001004
0x00001000
0x00000FFC
0x00000FF8

What is our miss rate (in fractional form)?

",
8,#####,30,No,"- OpenMP
- Compiler
- Preprocessor
- Linker
- Assembler",2,"What is the program that when compiling, processes the lines starting with a #, like #pragma omp parallel or #define VAL 5?",
9,#####,30,No,"- OpenMP
- Compiler
- Preprocessor
- Linker
- Assembler",4,"What is the program that converts text assembly instructions, like movq %rax, %rbx, into bytecode?",
10,#####,30,No,"- OpenMP
- Compiler
- Preprocessor
- Linker
- Assembler",3,"What is the program that when compiling, combines multiple separate object files into a single executable file?",
11,Optimize I,30,No,"- Code Motion
- Strength Reduction
- Common Subexpression Elimination
- Procedure Calls Minimization
- Memory Aliasing
- Tiling",1,What is the name of the optimization that involves using repeated addition inside of a loop instead of multiplication?,
12,Optimize II,30,No,"- Code Motion
- Strength Reduction
- Common Subexpression Elimination
- Procedure Calls Minimization
- Memory Aliasing
- Tiling",4,What is the name of the opimitzation that replaces repeated array access into the same index with a temporary variable?,
13,Optimize III,30,No,"- Code Motion
- Strength Reduction
- Common Subexpression Elimination
- Procedure Calls Minimization
- Memory Aliasing
- Tiling",5,What is the name of the optimization that involves splitting a 2D array into smaller squares that are then processed separately in order to optimize cache hits?,
14,OpenMP,120,No,"- x, j; sum:a
- _; +:a
- _; sum:a
- x; +:a
- x, j; sum:a
- x: sum:a",3,"Fill in the blanks with the minimal amount of text while still keeping functionality the exact same even if the pragma line is removed:

int j, x;
int a = 0;

#pragma omp parallel for private(___) reduction(______)
for (j = 0; j < 1000000; j++) {
  for (k = 0; k < 5; k++) {
    x = calc(j, x);
    a += x;
  }
}
  ",
15,Spoons Intro,180,No,- I have read the game rules (no points will be earned this round),1,"In the game of spoons, a player wins if they are holding 2 cards of the same number, and in each set of cards, there are only 2 cards of each number. There are at least as many card numbers as there are players in the game.

- Turns are unordered and untimed: players take a ""turn"" whenever they want to, and multiple turns can be taken at once. Assume that players will always take a turn if they are able to, but players may take different amounts of time to take a single turn.
- Each person starts with 1 card.
- A turn consists of draining some number of cards, and discarding some number of cards. By default, a player draws 1 card, bringing their hand to 2 cards, and if not winning immediately, discarding one of the 2 cards.
- A discarded card can be drawn by another player
- When a player ""wins"", they immediately stop playing, but other players may continue to play until they win
- Assume that players will follow a collective strategy, and will not deviate from it under any circumstances

By default, when a player draws a new card, they compare it to their existing card, and if it doesn't match, discard the card they just drew.

This game will be used in the next few questions - take a couple minutes to read up on the game!",
16,Spoons I,60,,"- Yes
- No, Mutual Exclusion
- No, Hold and Wait
- No, No Preemption
- No, Circular Wait",0,"In the game of spoons, a player wins if they are holding 2 cards of the same number, and in each set of cards, there are only 2 cards of each number. There are at least as many card numbers as there are players in the game.

- Turns are unordered and untimed: players take a ""turn"" whenever they want to, and multiple turns can be taken at once. Assume that players will always take a turn if they are able to, but players may take different amounts of time to take a single turn.
- Each person starts with 1 card.
- A turn consists of draining some number of cards, and discarding some number of cards. By default, a player draws 1 card, bringing their hand to 2 cards, and if not winning immediately, discarding one of the 2 cards.
- A discarded card can be drawn by another player
- When a player ""wins"", they immediately stop playing, but other players may continue to play until they win
- Assume that players will follow a collective strategy, and will not deviate from it under any circumstances

By default, when a player draws a new card, they compare it to their existing card, and if it doesn't match, discard the card they just drew.

QUESTION: As-is, is it possible for the game to deadlock? If not, what condition of deadlock is not satisfied?",
17,Spoons II,60,,"- Yes
- No, Mutual Exclusion
- No, Hold and Wait
- No, No Preemption
- No, Circular Wait",4,"In the game of spoons, a player wins if they are holding 2 cards of the same number, and in each set of cards, there are only 2 cards of each number. There are at least as many card numbers as there are players in the game.

- Turns are unordered and untimed: players take a ""turn"" whenever they want to, and multiple turns can be taken at once. Assume that players will always take a turn if they are able to, but players may take different amounts of time to take a single turn.
- Each person starts with 1 card.
- A turn consists of draining some number of cards, and discarding some number of cards. By default, a player draws 1 card, bringing their hand to 2 cards, and if not winning immediately, discarding one of the 2 cards.
- A discarded card can be drawn by another player
- When a player ""wins"", they immediately stop playing, but other players may continue to play until they win
- Assume that players will follow a collective strategy, and will not deviate from it under any circumstances

By default, when a player draws a new card, they compare it to their existing card, and if it doesn't match, discard the card they just drew.

NEW STRATEGY: Label each pair of cards with the same number with a red and black dot on each. A player will immediately discard all of their cards until they receive a card with a red dot, at which point they will hold onto only that card until they find the corresponding card with a black dot.

QUESTION: Is it possible for the game to deadlock? If not, what condition of deadlock is not satisfied?",
18,Spoons III,60,,"- Yes
- No, Mutual Exclusion
- No, Hold and Wait
- No, No Preemption
- No, Circular Wait",3,"In the game of spoons, a player wins if they are holding 2 cards of the same number, and in each set of cards, there are only 2 cards of each number. There are at least as many card numbers as there are players in the game.

- Turns are unordered and untimed: players take a ""turn"" whenever they want to, and multiple turns can be taken at once. Assume that players will always take a turn if they are able to, but players may take different amounts of time to take a single turn.
- Each person starts with 1 card.
- A turn consists of draining some number of cards, and discarding some number of cards. By default, a player draws 1 card, bringing their hand to 2 cards, and if not winning immediately, discarding one of the 2 cards.
- A discarded card can be drawn by another player
- When a player ""wins"", they immediately stop playing, but other players may continue to play until they win
- Assume that players will follow a collective strategy, and will not deviate from it under any circumstances

By default, when a player draws a new card, they compare it to their existing card, and if it doesn't match, discard the card they just drew.

NEW STRATEGY: All players show their hand to all other players at all times. When a player draws a new card, they also check all other player hands - if either of the held cards are in someone else's hand, they ""steal"" the card from them and immediately win, discarding the remaining card.

QUESTION: Is it possible for the game to deadlock? If not, what condition of deadlock is not satisfied?",
19,Spoons IV,60,,"- Yes
- No, Mutual Exclusion
- No, Hold and Wait
- No, No Preemption
- No, Circular Wait",2,"In the game of spoons, a player wins if they are holding 2 cards of the same number, and in each set of cards, there are only 2 cards of each number. There are at least as many card numbers as there are players in the game.

- Turns are unordered and untimed: players take a ""turn"" whenever they want to, and multiple turns can be taken at once. Assume that players will always take a turn if they are able to, but players may take different amounts of time to take a single turn.
- Each person starts with 1 card.
- A turn consists of draining some number of cards, and discarding some number of cards. By default, a player draws 1 card, bringing their hand to 2 cards, and if not winning immediately, discarding one of the 2 cards.
- A discarded card can be drawn by another player
- When a player ""wins"", they immediately stop playing, but other players may continue to play until they win
- Assume that players will follow a collective strategy, and will not deviate from it under any circumstances

By default, when a player draws a new card, they compare it to their existing card, and if it doesn't match, discard the card they just drew.

NEW STRATEGY: A player must discard all of their cards every 30 seconds and get a new set of cards.

QUESTION: Is it possible for the game to deadlock? If not, what condition of deadlock is not satisfied?",
